Unnamed: 0,classified_id,classified_type,classified_price,classified_zip,classified_kitchen_type,classified_building_constructionYear,classified_building_condition,classified_energy_heatingType,classified_certificates_primaryEnergyConsumptionLevel,classified_bedroom_count,classified_land_surface,classified_outdoor_terrace_exists,customer_id
9423,10158302.0,apartment,230000,2018.0,installed,2018.0,asnew,gas,77.0,1.0,0.0,True,2246999.0
9434,9969976.0,apartment,325000,1190.0,hyperequipped,2002.0,asnew,gas,120.0,3.0,0.0,True,2289047.0
9435,9998052.0,apartment,325000,4041.0,0,2014.0,asnew,gas,79.0,3.0,0.0,True,1587457.0
9436,10017453.0,apartment,329000,9340.0,installed,2022.0,asnew,gas,0.0,2.0,0.0,0,2547553.0
9439,10115260.0,apartment,340000,1180.0,installed,1980.0,asnew,gas,0.0,2.0,0.0,True,3882667.0
9441,10126684.0,apartment,347000,9400.0,0,2002.0,asnew,fueloil,119.0,3.0,0.0,True,72920.0
9442,10102486.0,apartment,350000,2100.0,installed,0.0,asnew,gas,298.0,2.0,0.0,True,291171.0
9443,9806913.0,apartment,350000,8430.0,installed,1964.0,good,gas,269.0,3.0,0.0,0,3854999.0
9446,10121754.0,apartment,365000,1190.0,notinstalled,1900.0,torenovate,gas,0.0,2.0,0.0,0,1247379.0
9447,10099739.0,apartment,370000,2800.0,installed,1972.0,good,fueloil,159.0,5.0,0.0,True,3327812.0
9450,10084199.0,apartment,375000,2000.0,hyperequipped,0.0,asnew,gas,172.0,2.0,0.0,0,2837127.0
9451,9978783.0,apartment,380000,8620.0,0,1992.0,asnew,electric,188.0,2.0,0.0,True,2997026.0
9453,9988812.0,apartment,385000,6060.0,semiequipped,0.0,tobedoneup,gas,403.0,9.0,0.0,0,2556750.0
9455,10158332.0,house,249000,8792.0,semiequipped,0.0,good,gas,427.0,3.0,516.0,0,2289068.0
9458,10094199.0,house,159000,2620.0,installed,1972.0,good,gas,338.0,3.0,69.0,0,1274842.0
9461,10158302.0,apartment,230000,2018.0,installed,2018.0,asnew,gas,77.0,1.0,0.0,True,2246999.0
9466,9779475.0,apartment,395000,8000.0,installed,0.0,justrenovated,gas,252.0,4.0,0.0,0,1583523.0
9467,10081173.0,apartment,395000,8300.0,semiequipped,1989.0,good,electric,123.0,2.0,0.0,True,725450.0
9468,10113143.0,apartment,399000,2000.0,installed,2016.0,asnew,gas,62.0,3.0,0.0,True,1284223.0
9469,9854936.0,apartment,399000,8580.0,0,1980.0,torenovate,gas,239.0,3.0,0.0,True,1548676.0
9470,9833914.0,apartment,415000,1410.0,installed,2006.0,asnew,gas,146.0,3.0,0.0,True,1503.0
9472,9884262.0,apartment,425000,1000.0,usahyperequipped,1900.0,justrenovated,gas,251.0,1.0,0.0,True,3467306.0
9473,9709762.0,apartment,425000,1000.0,usahyperequipped,1900.0,justrenovated,gas,251.0,1.0,0.0,True,1110748.0
9474,9961160.0,apartment,435000,8300.0,hyperequipped,1982.0,good,gas,93.0,1.0,0.0,True,725450.0
9478,10112995.0,apartment,457000,2018.0,hyperequipped,0.0,asnew,gas,271.0,3.0,0.0,True,3882563.0
9479,9507497.0,apartment,460000,1080.0,usahyperequipped,2021.0,asnew,gas,0.0,3.0,0.0,True,2506159.0
9482,10116224.0,apartment,495000,1180.0,0,1970.0,torenovate,gas,207.0,3.0,0.0,True,3467306.0
9483,10112878.0,apartment,495000,1180.0,0,1970.0,torenovate,gas,207.0,3.0,0.0,True,1110748.0
9484,10098036.0,apartment,495000,1180.0,installed,1925.0,good,gas,248.0,2.0,0.0,True,2191.0
9486,10067081.0,apartment,495000,8300.0,usahyperequipped,1979.0,good,gas,126.0,2.0,0.0,True,2085.0
9487,9989046.0,apartment,499000,1050.0,semiequipped,1930.0,torenovate,gas,237.0,2.0,0.0,0,2506159.0
9493,10158332.0,house,249000,8792.0,semiequipped,0.0,good,gas,427.0,3.0,516.0,0,2289068.0
9496,10094199.0,house,159000,2620.0,installed,1972.0,good,gas,338.0,3.0,69.0,0,1274842.0
9499,10158302.0,apartment,230000,2018.0,installed,2018.0,asnew,gas,77.0,1.0,0.0,True,2246999.0
9501,10112582.0,apartment,535000,2640.0,0,2003.0,good,gas,131.0,3.0,0.0,True,3853942.0
9503,10008139.0,apartment,555000,2018.0,hyperequipped,0.0,asnew,gas,221.0,2.0,0.0,0,2837127.0
9506,9749966.0,apartment,570000,1000.0,usahyperequipped,1900.0,justrenovated,gas,205.0,2.0,0.0,0,1110748.0
9507,9749968.0,apartment,570000,1030.0,usahyperequipped,1900.0,justrenovated,gas,205.0,2.0,0.0,0,1110748.0
9508,9751626.0,apartment,580000,1000.0,usahyperequipped,1900.0,justrenovated,gas,205.0,2.0,0.0,0,1110748.0
9509,9749986.0,apartment,580000,1000.0,usahyperequipped,1900.0,justrenovated,gas,205.0,2.0,0.0,0,1110748.0
9510,9866344.0,apartment,589000,2000.0,hyperequipped,0.0,asnew,gas,0.0,2.0,0.0,True,667471.0
9511,9958879.0,apartment,595000,1000.0,usahyperequipped,1900.0,justrenovated,gas,270.0,2.0,0.0,True,1110748.0
9512,9805695.0,apartment,595000,1000.0,hyperequipped,2011.0,asnew,fueloil,128.0,3.0,0.0,True,3855004.0
9513,9958880.0,apartment,595000,1030.0,usahyperequipped,1900.0,justrenovated,gas,270.0,2.0,0.0,True,1110748.0
9514,9958969.0,apartment,595000,1030.0,usahyperequipped,1900.0,justrenovated,gas,270.0,2.0,0.0,True,3467306.0
9515,9805706.0,apartment,595000,1060.0,hyperequipped,2011.0,asnew,fueloil,128.0,3.0,0.0,True,3855004.0
